x> y^ xf yf
Frequency (Hz)	Magnitude (amp)
8354.88281	0.433127165
8397.94922	0.409947366
8441.01562	0.385219544
8484.08203	0.428175777
8527.14844	0.433666348
8570.21484	0.125991687
8613.28125	0.511770129
8656.34766	1.28305602
8699.41406	0.68036902
8742.48047	0.516113162
8785.54688	0.521519661
8828.61328	0.454925865
8871.67969	0.495446742
8914.74609	0.493385732
8957.8125	0.461461157
9000.87891	0.455134392
9043.94531	0.473059773
9087.01172	0.398905456
9130.07812	0.500831842
9173.14453	0.486941189
9216.21094	0.607999146
9259.27734	0.892807961
9302.34375	0.86431706
9345.41016	0.339129061
9388.47656	0.466158628
9431.54297	0.345493495
9474.60938	0.318977296
9517.67578	0.35441035
9560.74219	0.393373072
9603.80859	0.310865819
9646.875	0.355045706
9689.94141	0.368191123
9733.00781	0.343726516
9776.07422	0.412947655
9819.14062	0.127719983
9862.20703	0.388162762
9905.27344	0.717277825
9948.33984	0.251411557
9991.40625	0.304922283
10034.4727	0.33528778
10077.5391	0.282312691
10120.6055	0.298411041
10163.6719	0.302396774
10206.7383	0.314917326
10249.8047	0.298086703
10292.8711	0.27274245
10335.9375	0.29180631
10379.0039	0.315347254
10422.0703	0.320739746
10465.1367	0.378284216
10508.2031	0.778514028
10551.2695	0.297813505
10594.3359	0.248626202
10637.4023	0.30300346
10680.4688	0.287768841
10723.5352	0.252256244
10766.6016	0.293672085
10809.668	0.309671223
10852.7344	0.260309011
10895.8008	0.298052818
10938.8672	0.303823858
10981.9336	0.266362488
11025	0.285021156
11068.0664	0.342439651
11111.1328	0.345054686
11154.1992	0.233459175
11197.2656	0.0939176753
11240.332	0.302240908
11283.3984	0.245996803
11326.4648	0.240454152
11369.5312	0.209260687
11412.5977	0.234627545
11455.6641	0.25516662
11498.7305	0.260522813
11541.7969	0.223739147
11584.8633	0.213905931
11627.9297	0.252475232
11670.9961	0.0656441152
11714.0625	0.26141122
11757.1289	0.323037654
11800.1953	0.172664598
11843.2617	0.186126128
11886.3281	0.240728721
11929.3945	0.255165488
11972.4609	0.217773646
12015.5273	0.246646613
12058.5938	0.199184015
12101.6602	0.205306575
12144.7266	0.250779748
12187.793	0.203969568
12230.8594	0.290619463
12273.9258	0.314040095
12316.9922	0.257279217
12360.0586	0.420133591
12403.125	0.187110633
12446.1914	0.126698047
12489.2578	0.198331386
12532.3242	0.196234658
12575.3906	0.202989593
12618.457	0.208510488
12661.5234	0.236987561
12704.5898	0.189731494
12747.6562	0.201480389
12790.7227	0.209601432
12833.7891	0.185676128
12876.8555	0.239100471
12919.9219	0.141605526
12962.9883	0.226907551
13006.0547	0.0672869161
13049.1211	0.169204608
13092.1875	0.157094896
13135.2539	0.186596453
13178.3203	0.169869229
13221.3867	0.17723009
13264.4531	0.165197492
13307.5195	0.206731766
13350.5859	0.188364297
13393.6523	0.182387576
13436.7188	0.195432052
13479.7852	0.184543625
13522.8516	0.169732302
13565.918	0.177419677
13608.9844	0.344922632
13652.0508	0.235383496
13695.1172	0.171784177
13738.1836	0.163855404
13781.25	0.164872453
13824.3164	0.172881961
13867.3828	0.155433491
13910.4492	0.190428987
13953.5156	0.18018423
13996.582	0.173890337
14039.6484	0.181998074
14082.7148	0.203472063
14125.7812	0.181393623
14168.8477	0.193850636
14211.9141	0.253161311
14254.9805	0.0639238879
14298.0469	0.126650885
14341.1133	0.140326396
14384.1797	0.172771543
14427.2461	0.144296452
14470.3125	0.162817672
14513.3789	0.186156273
14556.4453	0.160306245
14599.5117	0.219183922
14642.5781	0.175496131
14685.6445	0.1445335
14728.7109	0.16803582
14771.7773	0.173460901
14814.8438	0.163453281
14857.9102	0.136728927
14900.9766	0.15002203
14944.043	0.17374973
14987.1094	0.143443137
15030.1758	0.169993386
15073.2422	0.161658287
15116.3086	0.150399253
15159.375	0.148060501
15202.4414	0.150482863
15245.5078	0.164051354
15288.5742	0.123798043
15331.6406	0.167465463
15374.707	0.143712848
15417.7734	0.163042635
15460.8398	0.172773704
15503.9062	0.15022853
15546.9727	0.139738023
15590.0391	0.151341081
15633.1055	0.169165969
15676.1719	0.143095404
15719.2383	0.158190712
15762.3047	0.15010044
15805.3711	0.144972995
15848.4375	0.154273957
15891.5039	0.145318478
15934.5703	0.171783388
15977.6367	0.157664105
16020.7031	0.143617824
16063.7695	0.164696649
16106.8359	0.131250665
16149.9023	0.142350063
16192.9688	0.14453885
16236.0352	0.150227144
16279.1016	0.132170603
16322.168	0.149600521
16365.2344	0.140027851
16408.3008	0.143287063
16451.3672	0.152579218
16494.4336	0.142870456
16537.5	0.135312632
16580.5664	0.140905559
16623.6328	0.133817777
16666.6992	0.148088902
16709.7656	0.140912056
16752.832	0.139815673
16795.8984	0.130180731
16838.9648	0.141043514
16882.0312	0.146714061
16925.0977	0.147353142
16968.1641	0.127563491
17011.2305	0.132383987
17054.2969	0.140675664
17097.3633	0.136057734
17140.4297	0.136190057
17183.4961	0.144767836
17226.5625	0.146669686
17269.6289	0.14319779
17312.6953	0.145310119
17355.7617	0.153003573
17398.8281	0.15785858
17441.8945	0.132184014
17484.9609	0.136171773
17528.0273	0.142526165
17571.0938	0.138408899
17614.1602	0.149043754
17657.2266	0.126187444
17700.293	0.134359166
17743.3594	0.15596889
17786.4258	0.150798008
17829.4922	0.151200444
17872.5586	0.147835672
17915.625	0.134400159
17958.6914	0.152421057
18001.7578	0.138322294
18044.8242	0.125594527
18087.8906	0.120912053
18130.957	0.117158964
18174.0234	0.157128662
18217.0898	0.125896454
18260.1562	0.120364435
18303.2227	0.136868
18346.2891	0.144146308
18389.3555	0.134947225
18432.4219	0.134974971
18475.4883	0.131628528
18518.5547	0.143806919
18561.6211	0.139495403
18604.6875	0.143783376
18647.7539	0.128190964
18690.8203	0.137003258
18733.8867	0.141586915
18776.9531	0.143387854
18820.0195	0.129829079
18863.0859	0.134093255
18906.1523	0.132412672
18949.2188	0.139456034
18992.2852	0.128060177
19035.3516	0.120564967
19078.418	0.139531106
19121.4844	0.138311744
19164.5508	0.137569502
19207.6172	0.123751298
19250.6836	0.142603651
19293.75	0.138277411
19336.8164	0.11519327
19379.8828	0.127476931
19422.9492	0.151374668
19466.0156	0.146364659
19509.082	0.127532065
19552.1484	0.127737477
19595.2148	0.135942414
19638.2812	0.137831017
19681.3477	0.150892451
19724.4141	0.131944075
19767.4805	0.134989396
19810.5469	0.128269166
19853.6133	0.121911414
19896.6797	0.118312426
19939.7461	0.128591672
19982.8125	0.139008015
20025.8789	0.121088207
20068.9453	0.136510849
20112.0117	0.143168122
20155.0781	0.127379045
20198.1445	0.126357704
20241.2109	0.12874791
20284.2773	0.127214164
20327.3438	0.143248618
20370.4102	0.132941827
20413.4766	0.121042542
20456.543	0.152062148
20499.6094	0.121468082
20542.6758	0.12995097
20585.7422	0.116342828
20628.8086	0.130617648
20671.875	0.13092114
20714.9414	0.114354976
20758.0078	0.14854522
20801.0742	0.131517589
20844.1406	0.14252241
20887.207	0.142661989
20930.2734	0.133423552
20973.3398	0.130849034
21016.4062	0.137645766
21059.4727	0.125513509
21102.5391	0.127604827
21145.6055	0.117153697
21188.6719	0.11363551
21231.7383	0.134024486
21274.8047	0.108799398
21317.8711	0.136932254
21360.9375	0.120503306
21404.0039	0.124530442
21447.0703	0.12360771
21490.1367	0.131015778
21533.2031	0.116326787
21576.2695	0.128628612
21619.3359	0.127791375
21662.4023	0.109725244
21705.4688	0.107685201
21748.5352	0.124559596
21791.6016	0.114596128
21834.668	0.135153875
21877.7344	0.126396209
21920.8008	0.136092111
21963.8672	0.121843435
22006.9336	0.143913403
22050	0.130329609
