x> y^ xf yf
Frequency (Hz)	Magnitude (amp)
7149.02344	-59.0986824
7192.08984	-62.5910149
7235.15625	-60.8411751
7278.22266	-61.27771
7321.28906	-62.4040527
7364.35547	-57.8876076
7407.42188	-47.2157059
7450.48828	-45.7642097
7493.55469	-51.2766304
7536.62109	-54.30513
7579.6875	-56.0939941
7622.75391	-55.8595428
7665.82031	-57.1096497
7708.88672	-57.5428925
7751.95312	-58.5138855
7795.01953	-57.3121796
7838.08594	-57.7919273
7881.15234	-58.3386688
7924.21875	-58.9475632
7967.28516	-56.1100197
8010.35156	-57.571579
8053.41797	-49.9060822
8096.48438	-61.4579964
8139.55078	-58.0825272
8182.61719	-60.5953407
8225.68359	-60.511734
8268.75	-60.4166412
8311.81641	-60.743782
8354.88281	-61.2676926
8397.94922	-61.7454376
8441.01562	-62.2858353
8484.08203	-61.3675575
8527.14844	-61.2568855
8570.21484	-71.9931641
8613.28125	-59.8185005
8656.34766	-51.8350868
8699.41406	-57.345108
8742.48047	-59.7451019
8785.54688	-59.6545868
8828.61328	-60.8411865
8871.67969	-60.1000595
8914.74609	-60.1362686
8957.8125	-60.7172966
9000.87891	-60.8372078
9043.94531	-60.5016785
9087.01172	-61.9826012
9130.07812	-60.0061607
9173.14453	-60.2504692
9216.21094	-58.3219414
9259.27734	-54.9848404
9302.34375	-55.2665367
9345.41016	-63.3927002
9388.47656	-60.6293259
9431.54297	-63.2312012
9474.60938	-63.9248047
9517.67578	-63.0098724
9560.74219	-62.1039085
9603.80859	-64.1485443
9646.875	-62.9943161
9689.94141	-62.6785355
9733.00781	-63.2757378
9776.07422	-61.6820984
9819.14062	-71.8748245
9862.20703	-62.2197227
9905.27344	-56.8862534
9948.33984	-65.9922943
9991.40625	-64.3162155
10034.4727	-63.4916458
10077.5391	-64.9853897
10120.6055	-64.5037003
10163.6719	-64.3884583
10206.7383	-64.0360718
10249.8047	-64.5131454
10292.8711	-65.2849426
10335.9375	-64.6981049
10379.0039	-64.0242157
10422.0703	-63.8769455
10465.1367	-62.443634
10508.2031	-56.1746712
10551.2695	-64.5211105
10594.3359	-66.0890656
10637.4023	-64.371048
10680.4688	-64.8191223
10723.5352	-65.9631577
10766.6016	-64.642746
10809.668	-64.1819839
10852.7344	-65.6902161
10895.8008	-64.5141373
10938.8672	-64.3475647
10981.9336	-65.4905396
11025	-64.9024582
11068.0664	-63.3083191
11111.1328	-63.2422409
11154.1992	-66.6357803
11197.2656	-74.5450516
11240.332	-64.3929367
11283.3984	-66.1814117
11326.4648	-66.3793564
11369.5312	-67.5862503
11412.5977	-66.5924225
11455.6641	-65.8635254
11498.7305	-65.6830826
11541.7969	-67.0051575
11584.8633	-67.395546
11627.9297	-65.9556274
11670.9961	-77.6560822
11714.0625	-65.6535187
11757.1289	-63.8149376
11800.1953	-69.2559357
11843.2617	-68.6038513
11886.3281	-66.3694382
11929.3945	-65.8635635
11972.4609	-67.2398911
12015.5273	-66.1585007
12058.5938	-68.0149078
12101.6602	-67.7519455
12144.7266	-66.0141525
12187.793	-67.8086929
12230.8594	-64.7335052
12273.9258	-64.0602951
12316.9922	-65.7919083
12360.0586	-61.5322533
12403.125	-68.5580292
12446.1914	-71.944603
12489.2578	-68.0521698
12532.3242	-68.1444855
12575.3906	-67.8505249
12618.457	-67.6174393
12661.5234	-66.5054855
12704.5898	-68.4372101
12747.6562	-67.9153442
12790.7227	-67.572113
12833.7891	-68.6248779
12876.8555	-66.4283905
12919.9219	-70.9783936
12962.9883	-66.8830185
13006.0547	-77.441391
13049.1211	-69.4317551
13092.1875	-70.0767593
13135.2539	-68.5819321
13178.3203	-69.3977051
13221.3867	-69.0292511
13264.4531	-69.6399307
13307.5195	-67.6918564
13350.5859	-68.5000305
13393.6523	-68.780098
13436.7188	-68.1800842
13479.7852	-68.6780167
13522.8516	-69.4047089
13565.918	-69.0199661
13608.9844	-63.2455673
13652.0508	-66.5644836
13695.1172	-69.3003387
13738.1836	-69.7107849
13781.25	-69.6570358
13824.3164	-69.2450027
13867.3828	-70.1691055
13910.4492	-68.4053421
13953.5156	-68.8856659
13996.582	-69.1944885
14039.6484	-68.7986603
14082.7148	-67.8299026
14125.7812	-68.8275604
14168.8477	-68.2506561
14211.9141	-65.9320526
14254.9805	-77.886734
14298.0469	-71.9478378
14341.1133	-71.0572128
14384.1797	-69.2505569
14427.2461	-70.814888
14470.3125	-69.7659683
14513.3789	-68.6024475
14556.4453	-69.9009933
14599.5117	-67.1838226
14642.5781	-69.1146469
14685.6445	-70.8006287
14728.7109	-69.4919586
14771.7773	-69.2159653
14814.8438	-69.7321243
14857.9102	-71.2827911
14900.9766	-70.4768982
14944.043	-69.2015152
14987.1094	-70.8664017
15030.1758	-69.3913574
15073.2422	-69.8280411
15116.3086	-70.4550858
15159.375	-70.591217
15202.4414	-70.4502563
15245.5078	-69.7004013
15288.5742	-72.1457214
15331.6406	-69.521492
15374.707	-70.85009
15417.7734	-69.7539749
15460.8398	-69.2504501
15503.9062	-70.4649506
15546.9727	-71.0937042
15590.0391	-70.4008636
15633.1055	-69.4337387
15676.1719	-70.8874893
15719.2383	-70.0163803
15762.3047	-70.4723587
15805.3711	-70.7742615
15848.4375	-70.2341461
15891.5039	-70.7535858
15934.5703	-69.3003769
15977.6367	-70.0453415
16020.7031	-70.855835
16063.7695	-69.6663055
16106.8359	-71.63797
16149.9023	-70.9328461
16192.9688	-70.8003082
16236.0352	-70.4650345
16279.1016	-71.577301
16322.168	-70.5013351
16365.2344	-71.0757141
16408.3008	-70.8758621
16451.3672	-70.3300934
16494.4336	-70.9011536
16537.5	-71.37323
16580.5664	-71.0214386
16623.6328	-71.4697266
16666.6992	-70.5895462
16709.7656	-71.0210342
16752.832	-71.0888824
16795.8984	-71.7090683
16838.9648	-71.0129395
16882.0312	-70.6705627
16925.0977	-70.6328125
16968.1641	-71.8854752
17011.2305	-71.5632935
17054.2969	-71.0356216
17097.3633	-71.3255386
17140.4297	-71.3170929
17183.4961	-70.7865601
17226.5625	-70.6731949
17269.6289	-70.8812714
17312.6953	-70.7540817
17355.7617	-70.3059692
17398.8281	-70.0346375
17441.8945	-71.5764236
17484.9609	-71.3182602
17528.0273	-70.9221115
17571.0938	-71.1767197
17614.1602	-70.5337219
17657.2266	-71.9796753
17700.293	-71.4346542
17743.3594	-70.1392441
17786.4258	-70.4320908
17829.4922	-70.4089355
17872.5586	-70.6044159
17915.625	-71.4320068
17958.6914	-70.3391037
18001.7578	-71.1821594
18044.8242	-72.0205841
18087.8906	-72.3506088
18130.957	-72.6244888
18174.0234	-70.0748901
18217.0898	-71.999733
18260.1562	-72.3900375
18303.2227	-71.2739639
18346.2891	-70.8239288
18389.3555	-71.3967209
18432.4219	-71.3949356
18475.4883	-71.612999
18518.5547	-70.8444061
18561.6211	-71.1088028
18604.6875	-70.8458252
18647.7539	-71.8428497
18690.8203	-71.2653809
18733.8867	-70.979538
18776.9531	-70.869751
18820.0195	-71.7325592
18863.0859	-71.4518585
18906.1523	-71.561409
18949.2188	-71.1112518
18992.2852	-71.8517151
19035.3516	-72.3755798
19078.418	-71.1065826
19121.4844	-71.1828156
19164.5508	-71.2295532
19207.6172	-72.1490021
19250.6836	-70.9173889
19293.75	-71.1849747
19336.8164	-72.7714615
19379.8828	-71.8913651
19422.9492	-70.3989334
19466.0156	-70.6912766
19509.082	-71.8876114
19552.1484	-71.8736343
19595.2148	-71.332901
19638.2812	-71.2130585
19681.3477	-70.426651
19724.4141	-71.5922012
19767.4805	-71.3940048
19810.5469	-71.8375549
19853.6133	-72.2791138
19896.6797	-72.5393906
19939.7461	-71.8157425
19982.8125	-71.1392059
20025.8789	-72.3379669
20068.9453	-71.2966537
20112.0117	-70.8830719
20155.0781	-71.8980408
20198.1445	-71.9679642
20241.2109	-71.8051987
20284.2773	-71.9092941
20327.3438	-70.8781891
20370.4102	-71.5267639
20413.4766	-72.3412399
20456.543	-70.359581
20499.6094	-72.3107529
20542.6758	-71.724411
20585.7422	-72.6852112
20628.8086	-71.6799622
20671.875	-71.6598053
20714.9414	-72.8348999
20758.0078	-70.5628281
20801.0742	-71.6203232
20844.1406	-70.9223404
20887.207	-70.9138336
20930.2734	-71.4953537
20973.3398	-71.6645889
21016.4062	-71.2247391
21059.4727	-72.0261917
21102.5391	-71.8826599
21145.6055	-72.6248779
21188.6719	-72.8897171
21231.7383	-71.4563141
21274.8047	-73.2674713
21317.8711	-71.2698822
21360.9375	-72.3800201
21404.0039	-72.0944901
21447.0703	-72.1590881
21490.1367	-71.6535263
21533.2031	-72.686409
21576.2695	-71.8132477
21619.3359	-71.8699722
21662.4023	-73.1938705
21705.4688	-73.3568802
21748.5352	-72.092453
21791.6016	-72.8166046
21834.668	-71.3834305
21877.7344	-71.9653168
21920.8008	-71.3233414
21963.8672	-72.2839584
22006.9336	-70.8379745
22050	-71.6991348
