x> y^ xf yf
Frequency (Hz)	Power (dB)
9646.875	-62.1556625
9689.94141	-62.2743568
9733.00781	-62.4023552
9776.07422	-62.5065231
9819.14062	-62.620739
9862.20703	-62.7486877
9905.27344	-62.841507
9948.33984	-62.9312706
9991.40625	-63.021698
10034.4727	-63.131649
10077.5391	-63.2315788
10120.6055	-63.4064217
10163.6719	-63.6483154
10206.7383	-63.8444557
10249.8047	-63.840786
10292.8711	-63.9872856
10335.9375	-64.263237
10379.0039	-64.2746506
10422.0703	-64.352005
10465.1367	-64.4562836
10508.2031	-64.5401306
10551.2695	-64.6278915
10594.3359	-64.705574
10637.4023	-64.7642899
10680.4688	-64.8941193
10723.5352	-64.7848663
10766.6016	-64.8759918
10809.668	-65.3825684
10852.7344	-65.3743057
10895.8008	-65.3620834
10938.8672	-65.5026703
10981.9336	-65.5909271
11025	-65.6364365
11068.0664	-65.6724091
11111.1328	-65.7505569
11154.1992	-65.7906876
11197.2656	-65.8572693
11240.332	-65.9317551
11283.3984	-65.9802856
11326.4648	-66.0761871
11369.5312	-66.1320343
11412.5977	-66.3243713
11455.6641	-66.3553619
11498.7305	-66.2442245
11541.7969	-66.346344
11584.8633	-66.520134
11627.9297	-66.5710831
11670.9961	-66.6564941
11714.0625	-66.7459717
11757.1289	-66.7929764
11800.1953	-66.8415451
11843.2617	-66.9412918
11886.3281	-67.0004349
11929.3945	-67.0655518
11972.4609	-67.1952209
12015.5273	-67.272934
12058.5938	-67.3788528
12101.6602	-67.1919708
12144.7266	-67.5102234
12187.793	-67.5895004
12230.8594	-67.6796799
12273.9258	-67.7039642
12316.9922	-67.7723923
12360.0586	-67.8496017
12403.125	-67.9461136
12446.1914	-67.9628601
12489.2578	-67.9897995
12532.3242	-68.0586853
12575.3906	-67.8275681
12618.457	-67.9013367
12661.5234	-68.0376663
12704.5898	-68.0319138
12747.6562	-67.9012222
12790.7227	-67.905983
12833.7891	-67.9898071
12876.8555	-68.0500717
12919.9219	-68.1353989
12962.9883	-68.1654053
13006.0547	-68.2243576
13049.1211	-68.2826767
13092.1875	-68.3089447
13135.2539	-68.4177551
13178.3203	-68.5333252
13221.3867	-68.5830307
13264.4531	-68.7609634
13307.5195	-68.7534637
13350.5859	-68.6068192
13393.6523	-68.8466873
13436.7188	-68.9394531
13479.7852	-69.017662
13522.8516	-69.0574951
13565.918	-69.1626053
13608.9844	-69.195015
13652.0508	-69.2117691
13695.1172	-69.2685699
13738.1836	-69.2334213
13781.25	-69.2989426
13824.3164	-69.2946091
13867.3828	-69.3582382
13910.4492	-69.1576233
13953.5156	-69.1649475
13996.582	-69.1943588
14039.6484	-69.2405777
14082.7148	-69.2357941
14125.7812	-69.2806015
14168.8477	-69.2745438
14211.9141	-69.3266449
14254.9805	-69.3743286
14298.0469	-69.4185028
14341.1133	-69.4738693
14384.1797	-69.4988098
14427.2461	-69.5656586
14470.3125	-69.5778961
14513.3789	-69.7633667
14556.4453	-69.8411636
14599.5117	-69.8399429
14642.5781	-69.8583374
14685.6445	-69.8933792
14728.7109	-69.9215698
14771.7773	-69.9036331
14814.8438	-69.9641724
14857.9102	-69.9917526
14900.9766	-70.0229187
14944.043	-70.071106
14987.1094	-70.1297455
15030.1758	-70.1767273
15073.2422	-70.2023239
15116.3086	-70.3026505
15159.375	-70.1311646
15202.4414	-70.0755157
15245.5078	-70.0896835
15288.5742	-70.1307144
15331.6406	-70.1303558
15374.707	-70.1474075
15417.7734	-70.2199631
15460.8398	-70.2346115
15503.9062	-70.3295364
15546.9727	-70.3724899
15590.0391	-70.3610153
15633.1055	-70.3953857
15676.1719	-70.447998
15719.2383	-70.4794464
15762.3047	-70.4840088
15805.3711	-70.4867554
15848.4375	-70.5311356
15891.5039	-70.5365601
15934.5703	-70.5930862
15977.6367	-70.6219864
16020.7031	-70.627243
16063.7695	-70.6282578
16106.8359	-70.6632614
16149.9023	-70.7087021
16192.9688	-70.6816254
16236.0352	-70.7256241
16279.1016	-70.7370148
16322.168	-70.7621994
16365.2344	-70.7969055
16408.3008	-70.8070526
16451.3672	-70.7987747
16494.4336	-70.7964554
16537.5	-70.8111115
16580.5664	-70.827919
16623.6328	-70.8596725
16666.6992	-70.8706436
16709.7656	-70.880455
16752.832	-70.887764
16795.8984	-70.9176712
16838.9648	-70.9697266
16882.0312	-70.9720154
16925.0977	-70.9616776
16968.1641	-70.9797897
17011.2305	-70.9545822
17054.2969	-70.9667587
17097.3633	-70.9555054
17140.4297	-70.9729996
17183.4961	-70.9838104
17226.5625	-71.0289154
17269.6289	-71.0666885
17312.6953	-71.0471573
17355.7617	-71.0878754
17398.8281	-71.1241913
17441.8945	-71.1217728
17484.9609	-71.116951
17528.0273	-71.1151733
17571.0938	-71.134819
17614.1602	-71.1492538
17657.2266	-71.1432877
17700.293	-71.1286469
17743.3594	-71.1245728
17786.4258	-71.1531677
17829.4922	-71.1685944
17872.5586	-71.1464996
17915.625	-71.1295853
17958.6914	-71.1465836
18001.7578	-71.1496658
18044.8242	-71.1556244
18087.8906	-71.1635437
18130.957	-71.1922836
18174.0234	-71.2287292
18217.0898	-71.2373276
18260.1562	-71.2587128
18303.2227	-71.2878571
18346.2891	-71.3018265
18389.3555	-71.2920456
18432.4219	-71.2984619
18475.4883	-71.3373566
18518.5547	-71.3704681
18561.6211	-71.3319168
18604.6875	-71.3137817
18647.7539	-71.3564301
18690.8203	-71.3915863
18733.8867	-71.4141235
18776.9531	-71.4289703
18820.0195	-71.4044495
18863.0859	-71.4350128
18906.1523	-71.4401779
18949.2188	-71.4357147
18992.2852	-71.4339676
19035.3516	-71.4318924
19078.418	-71.47435
19121.4844	-71.4533615
19164.5508	-71.452095
19207.6172	-71.4526443
19250.6836	-71.4540939
19293.75	-71.4663162
19336.8164	-71.4802933
19379.8828	-71.4849854
19422.9492	-71.5109558
19466.0156	-71.5053329
19509.082	-71.5219345
19552.1484	-71.5340958
19595.2148	-71.512001
19638.2812	-71.5444717
19681.3477	-71.5653152
19724.4141	-71.5885544
19767.4805	-71.5941162
19810.5469	-71.5965118
19853.6133	-71.6385574
19896.6797	-71.6071167
19939.7461	-71.5886993
19982.8125	-71.5842056
20025.8789	-71.5776443
20068.9453	-71.5841293
20112.0117	-71.5723114
20155.0781	-71.5798035
20198.1445	-71.6003265
20241.2109	-71.5786438
20284.2773	-71.5965347
20327.3438	-71.6572876
20370.4102	-71.6759491
20413.4766	-71.7096024
20456.543	-71.6948776
20499.6094	-71.7204132
20542.6758	-71.7419128
20585.7422	-71.7841721
20628.8086	-71.7856674
20671.875	-71.8171844
20714.9414	-71.816597
20758.0078	-71.8066177
20801.0742	-71.8225784
20844.1406	-71.8601685
20887.207	-71.8834152
20930.2734	-71.8950882
20973.3398	-71.8972092
21016.4062	-71.9236069
21059.4727	-71.909584
21102.5391	-71.9172974
21145.6055	-71.8936996
21188.6719	-71.8885803
21231.7383	-71.9138336
21274.8047	-71.9237595
21317.8711	-71.9127731
21360.9375	-71.9547501
21404.0039	-71.9448624
21447.0703	-71.9511642
21490.1367	-71.9295731
21533.2031	-71.9371414
21576.2695	-71.9458008
21619.3359	-71.9171219
21662.4023	-71.962265
21705.4688	-71.9740601
21748.5352	-72.0116196
21791.6016	-72.0522766
21834.668	-72.0737
21877.7344	-72.090065
21920.8008	-72.1261215
21963.8672	-72.1304626
22006.9336	-72.1417236
22050	-72.118721
